Speaker_1,Average_Similarity,Similarity_Variance
61,0.10025224447823486,0.16345883533129235
121,0.00040680217883877604,0.10839225916454871
237,0.04514159477347957,0.13920227798693968
260,0.07243008938218866,0.13785789633360912
672,0.06373520117873946,0.13060398204031218
1089,0.08766636639260326,0.12520452278199162
1188,0.06896627323064757,0.15600660521395243
1221,0.07294130990178219,0.10308239355833816
1284,0.056478527667266985,0.10993938270615869
1320,0.0925423670286203,0.13133761955843676
1580,0.08615545420484107,0.11253352408605284
1995,0.02113363274838776,0.1179502647269248
2094,0.09238430205732581,0.09831614220408455
2300,0.014851518301293247,0.12242284684754794
2830,0.04378932024593705,0.1193342878545537
2961,0.020778882496345494,0.1101646823110468
3570,-0.00547705434262753,0.1268053262347505
3575,-0.002329028638390201,0.12922891721726285
3729,0.03467063156320997,0.13574315946013482
4077,0.07631068024784325,0.11501278483668237
4446,0.06719425626631292,0.0903587559723347
4507,0.012355124671012165,0.12370863082105296
4970,0.06931623149859277,0.12101933269833563
4992,0.0071347163369258355,0.12173043533956492
5105,0.12244836745016713,0.08140330730154206
5142,0.03419614408630876,0.10506248447956494
5639,0.003842841771741706,0.10186043550086588
5683,0.034056041655795906,0.11320546807027815
6829,0.039642183956774775,0.07834092082177664
6930,-0.004958765022456671,0.08474765800242359
7021,0.08655314695917898,0.11245379013638383
7127,0.060230138711631284,0.1108514814985018
7176,0.08792219071515968,0.1821525566923147
7729,0.06604035695393877,0.16900160409046622
8224,0.02457342445850372,0.1431602535909388
8230,-0.009843096602708075,0.02483395292692202
8455,-0.05545784284671149,0.10235108758124342
8463,0.14456876739859575,0.15492339102470035
8555,-0.0277630612254142,
